season,file_episode,title,duration_seconds,subtitle_available,path,filename,inspection_error
2,11,Charades,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E11.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E11.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,12,Sticky Gecko,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E12.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E12.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,13,Dad Baby,420.13,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E13.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E13.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,14,Mum School,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E14.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E14.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,15,Trains,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E15.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E15.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,16,Army,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E16.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E16.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,17,Fancy Restaurant,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E17.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E17.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,18,Piggyback,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E18.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E18.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,19,The Show,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E19.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E19.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,20,"Tickle"" Unhunh, no way",438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E20.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E20.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,21,Escape,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E21.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E21.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,22,I Forget,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E22.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E22.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,23,Queens,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E23.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E23.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,24,Flat Pack,438.03,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E24.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E24.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,25,Helicopter,440.01,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E25.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E25.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,26,Sleepy-time,469.32,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E26.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E26.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,27,Grandad,438.09,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E27.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E27.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,28,Seesaw,440.01,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E28.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E28.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,29,Movies,440.01,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E29.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E29.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,30,Library,438.99,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E30.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E30.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,31,Barky Boats,440.01,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E31.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E31.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,32,Burger Shop,440.01,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E32.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E32.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,33,Circus,440.04,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E33.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E33.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,34,Swim School,438.99,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E34.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E34.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,35,Café,438.09,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E35.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E35.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,36,Postman,438.09,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E36.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E36.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
2,37,The Quiet Game,438.09,True,S:\Shows\Bluey\Bluey.S02.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S02E37.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S02E37.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
